article,comment,is_positive,thumbs_up,thumbs_down
Kolejny zwrot akcji ws. Ronaldo,"Jaki ""zwrot akcji""? 
Nie ma żadnej akcji, tylko medialny szum od wielu miesięcy.",0,0,0
Zobacz tabelę PKO Ekstraklasy,Mamy wyrównany poziom na dwie kolejki żadna drożyna nie zdobyła kompletu punktów.,0,0,0
Krychowiak oficjalnie w nowym klubie,"Niech ktos mi powie jaki jest cel tego artykulu ??? Wszedzie gdzie nie polezie jest sadzany na lawie, a polskie spoleczenstwo z niego gwiazde robi....",0,0,0
Krychowiak oficjalnie w nowym klubie,"cóż, troszkę smutne że Loko kupiło go za 12mln a sprzedaje za 2,5mln. Bo znaczy to że Krycha nie jest tak cenny jakby się chciało.",0,0,0
Krychowiak oficjalnie w nowym klubie,Poza Rosją zerowe zainteresowanie naszym gwiazdorem ?,0,1,2
Krychowiak oficjalnie w nowym klubie,Brawo Grzesiu! Po udanych Mistrzostwach Europy ten transfer do klasowego zespołu po prostu ci się należał!,1,1,0
#dziejesiewsporcie: Polska ma nowy tenisowy talent?! Wideo z synem Janowicza zachwyca,"Ktoś wie, co teraz porabia Janowicz ? Jest z rodziną na utrzymaniu tatusia-biznesmena ?",0,0,0
Nieudany transfer Pogoni. Fin odszedł,"Niech Ronaldo kupi Pogoń  ,nie pożaluje.",0,0,0
Nieudany transfer Pogoni. Fin odszedł,Jaka pomyłka jak rozegrał az 49 meczów ?? Po prostu ma teraz za slaba forme na pierwszy sklad.. Moze woli imprezki:),0,0,0
Nieudany transfer Pogoni. Fin odszedł,"Przecież to klub samych pomyłek , napastnicy Parzyszek i Zahović to też pomyłki a za chwilę pomyłką będzie można nazwać jeszcze kilku a nawet Trenera , co nie jest wykluczone.JeśliCzytaj całość
 klub grający w Pucharach Europy przegrywa wygrane mecze to jak nazwać klub?Też pomyłką?Co za dureń w tym klubie odpowiada za transfery?",0,1,1
Kane nie stawił się na treningu,"Jak był chciwy to podpisał długoletni kontrakt.Gdyby zrezygnował z podwyżki i nie podpisywał go,to teraz odszedłby za darmo i odbiłby sobie zarobki w nowym klubie.",0,0,0
Kane nie stawił się na treningu,Parówka....hajs hajs hajs hajs hajs hajs hajs haaaaaaaaaaaaaaajssss,0,0,2
Raków i Śląsk poznali kolejnych rywali,"Ten portal to dno i mam nadzieję, że młodzież z niego wiedzy nie czerpie! Po 1. Śląsk w ewntualnej 4 rundzie będzie grał z PRZEGRANYM z eliminacji LE Rapid- Famagusta a nie wygranym, PoCzytaj całość
 2. nie będzie rozstawiony gdyż pierwszy mecz będzie grał u siebie.",0,0,0
"Legia wie, z kim może zagrać o LM",Tresura perfekcyjna :),0,0,0
"Legia wie, z kim może zagrać o LM",Lepiej juz trafic nie mogli. Nie przekonuja te Balkanskie ekipy.,0,0,0
"Legia wie, z kim może zagrać o LM",Patrząc na grę w dwumeczu z Bodo i Florą chyba najbardziej optymistyczni kibice liczą na sukces z Chorwatami.,0,0,0
"Legia wie, z kim może zagrać o LM","Dziady i pały i tak odpadną, hańba dla Polski, biedaki, dziadostwo, złomiarze, Radom ich bije, pacynki :)))))) Buuuuuuuuuuuuachachachachachacha :)))))",0,0,0
"Legia wie, z kim może zagrać o LM",Dinamo nauczy ich pokory i tyle z tego będzie ,0,0,0
"Legia wie, z kim może zagrać o LM","@mokry 90: Gdybyś przeczytał artykuł, to byś wiedział.",0,0,1
"Legia wie, z kim może zagrać o LM",czy Legia nie powinna najpierw wygrac jeszcze jednego dwumeczu ?,0,1,0
"Legia wie, z kim może zagrać o LM","Zaparzamy kawkę, kroimy serniczek i czekamy na ""i tak nie awansuje!!!!!!"", ""przegra 0-8!!!!!"", ""buachachachacha i tak odpadną!"". Start!",0,1,0
Koniec bezrobocia Leo Messiego,Czym się różni biurofaks od burofaxu???,0,0,0
Koniec bezrobocia Leo Messiego,A ten Messi to kto?,0,0,0
Koniec bezrobocia Leo Messiego,"Nie wiem skąd ten zachwyt Messim? Dopóki reprezentacja Argentyny miała solidny zespół, podobnie jak i Barcelona  Messi doskonale wie, że poza Barceloną popadnie w niebyt piłkarski.Czytaj całość
 Christiano Ronaldo, który odszedł z Realu nie zawojował piłkarskiego świata. Barcelona służy Messiemu bardziej do podtrzymania jego legendy. Prawda jest o wiele bardziej prozaiczna. BARCELONA MA PRAWIE 1 MILARD  200 MILIONÓW EURO DŁUGÓW - Z CZEGO 700 MILIONÓW   TO SĄ ZOBOWIĄZANIA KRÓTKOTERMINOWE.   Barcelona nie ma  zespołu, nie tylko nie ma zespołu, ale i pieniędzy. Uparte trzymanie się  Messiego to droga donikąd, a dla coraz bardziej zadłużonego klubu  jakim jest Barcelona - pensja jaką wypłaca  argentyńskiej gwieździe jest dla samego klubu rujnująca.******************************************************************************************** 
Pensja Messiego budzi w Barcelonie kontrowersje w okresie pandemii koronawirusa- ponieważ reszta zespołu wyrobnicy - musieli zgodzić się na obniżenie pensji - NA SKUTEK  DRAMATYCZNEGO ZMNIEJSZENIA PRZYCHODÓW I ZYSKÓW. . NIE BYŁOBY W TYM NIC ZŁEGO, GDYBY NE TO ŻE ZGODZILIBY SIĘ WSZYSCY, A NIE JEST TAJEMNICĄ, ŻE MESSIEMU NIE OBNIŻONO PENSJI. LOGIKA PODPOWIADA, ZE RESZTA ZESPOŁU ZRZUCIALA SIĘ NA PENSJĘ DLA MESSIEGO, PRZYNAJMNIEJ CZĘŚCIOWO. 
Można tylko spekulować, że wyniki Barcelony biorą się stąd, że wielu piłkarzy nie chce być wyrobnikami dla  argentyńskiego gwiazdora, zwłaszcza w tak trudnej pandemicznej rzeczywistości.",0,0,1
Koniec bezrobocia Leo Messiego,"Redaktora trzymają się żarty. Messiego nie chciało ani MC, ani PSG i żaden klub nie wyrzuci w błoto 20 milionów poza Barceloną. Miłość do klubu nie miała tu żadnego znaczenia.",0,1,1
Koniec bezrobocia Leo Messiego,hahahahahahah sressi i telenowela brazylijska .jprd,0,0,1
Koniec bezrobocia Leo Messiego,"Bzdury. Jeszcze nic nie jest pewne. Wyssane z dziennikarskiego palca przez autora artykułu. Będzie to wiadomość dnia we wszystkich agencjach jak coś takiego się wydarzy. Ale jeszcze nieCzytaj całość
 teraz",0,0,1
Koniec bezrobocia Leo Messiego,"""półfinale z Bayernem""???
Nie ma to ja rzetelnie napisać artykuł i sprawdzić fakty.",0,1,1
Koniec bezrobocia Leo Messiego,"""Miłość do klubu okazała się większa niż finanse.""???",0,1,0
Ekspert w mocnych słowach o Górniku,"QUIZ: Ile magisterek ma Lewandowski? A) Ma jedna magisterke. B) Ma dwie magisterki. C) Ma trzy magisterki... Wsrod uczestnikow, ktorzy udziela poprawnej odpowiedzi rozlosujemy telewizor kolorowyCzytaj całość
 marki SONY.",0,0,0
Ekspert w mocnych słowach o Górniku,"Zmiane trenera w Gorniku mozna skomentowac slowami ze ;""zamienil stryjek siekierke na kijek"".Jezeli dzialacze Gornika mysleli ze jak przyjdzie Podolski to wszystko samo sie ulozy toCzytaj całość
 mieli pecha i oznacza to ze nie nadaja sie do futbolu.",0,0,0
Ekspert w mocnych słowach o Górniku,"Podolski ma swoje lata i oczekiwanie od niego że wchodząc na boisko prawie z ulicy pociągnie grę, było raczej nierealne. Zresztą przyznać trzeba, że motoryką, nie odbiegał od resztyCzytaj całość
 kolegów z drużyny.",0,0,0
Ekspert w mocnych słowach o Górniku,"W Górniku te nażelowane młokosy muszą wreszcie zrozumieć, że to jest Górnik i tutaj się gryzie trawę, żeby grać w tej drużynie. Tego jednak nie widać i młodość ich wcale nieCzytaj całość
 usprawiedliwia. Widać brak zaangażowania. Jeśli nie chcą grać dla Górnika, to trzeba ich wymienić.",0,0,0
Ekspert w mocnych słowach o Górniku,"Obserwując z boku poczynania Górnika uważam ze największym błędem było pozbycie się trenera i dyrektora sportowego. Nie znam warsztatu trenera Urbana ale nie każdy dobry piłkarz jestCzytaj całość
 dobrym trenerem . Urban pracował w kilka razy w klubach naszej ekstraklasy i nie przypominam sobie żeby odnosił jakoś sukcesy. Nie jest to kiepski trener ale chyba nie potrafi wyciągnąć z zawodników max umiejętności. Wartość trenera poznaje się po tym jak z solidnych  zawodników  jak na naszą ekstraklasę zrobić dobrą drużynę, a w zeszłym sezonie taką drużyną był Górnik.",0,0,0
Dobre informacje dla Legii z Chorwacji,Ależ on cierpi...,0,0,0
Dobre informacje dla Legii z Chorwacji,Kapustka też gra i Wszołek ??? tylko kiedy ?,0,0,1
Dobre informacje dla Legii z Chorwacji,Po co pokazujecie na zdjęciach graczy którzy nie grają w Legii.......jeszcze Ronaldo ubierzcie w koszulkę - żenada !!!!,0,0,1
Messi i Suarez spotkali się na Ibizie,"Myślałem , że jarosława zbawcę Polski w szortach na plaży",0,0,0
Pierwszy raz w Zielonej Górze,przygotowuja zielona do 1 ligi,0,0,0
Thomsen: I tak nie było źle,Zdrowka Anders!!!,1,0,0
Thomsen: I tak nie było źle,Nooo. Bardzo fajnie. Zwłaszcza dla kibiców.,1,0,0
Wolą to od dodatkowej gwiazdy w składzie,"...wyróżniają się na tle innych klubów....popatrzmy ilu z tych wychowanków częstochowskich jeździ na odpowiednim poziomie, a może zerknijmy m.in. na trenera Staszewskiego w OstrowieCzytaj całość
 Wlkp. i tamtą szkółkę i proces szkolenia. Za chwilę Ostrów będzie miał całą drużynę ze swoich zawodników. Unia Leszno cały czas prowadzi proces szkolenia, był Kubera, był Musielak... a gdzie w tym towarzystwie są juniorzy Lwów panie Prezesie. Czy samochwała w koncie stała dalej nie szła bo głupoty gadała... Trochę pokory....",0,0,0
Wolą to od dodatkowej gwiazdy w składzie,"Część środków, które mogłyby iść na dodatkowego Leona Madsena czy Bartosza Zmarzlika, inwestujemy w szkolenie -Czytaj całość
 Swiacik

Ludwiczak
Kupiec
Karczewski
Miskowiak
Kowalski

SZKOLENIE JAK TA LALA hahah TYLKO NIE ICH HAGGAGA",0,1,1
Wolą to od dodatkowej gwiazdy w składzie,"No i co z tego, że będą szkolić? I tak będą siedzieć na ławie, jak Kowalski w tym roku, a potem do trzeciej ligi, 22 lata i koniec kariery.
Swoją drogą, gdy ten prezes zaczynałCzytaj całość
 pracę na tym stanowisku, obiecywał drużynę z wychowanków. No cóż, ale wtedy nie walczyliby dziś o medale. Coś za coś.",0,0,0
Wolą to od dodatkowej gwiazdy w składzie,Przeciez juz mieliscie 2-och dodatkowych Madsenow i oba to niewypaly. Wiec p co pierd... bzdury?,0,1,0
Wolą to od dodatkowej gwiazdy w składzie,ale tu chodzi o spółkę czy stowarzyszenie???,0,1,0
Wolą to od dodatkowej gwiazdy w składzie,"C.D Przepraszam za  urwanie poniższego postu . Więc raczej będzie ciężko zatrzymać liderów.  Powodzenia dla Częstochowy a przedewszystkim dla kibicow CKM. Zasługują  napewno naCzytaj całość
 lepszego Prezesa i lepsze wynik zespołu. Pozdrawiam !",0,1,1
Wolą to od dodatkowej gwiazdy w składzie,"Panie Prezesie to dlaczego w ubiegłym roku zakontraktowal Pan J. Doyla !? Tani z Madsenem i Lindgremem  na byli !  Nawet z takim składem w ubiegłym roku nie zdołał Pan wejść do P.O !Czytaj całość
 Pozbycie się trenera Pana Cieślaka tzn : Miały polecieć głowy i poleciała!  Pana Marka.Ć. Nie ma co się oczarować!  W tym roku najprawdopodobniej też bez P.O czego absolutnie klubowi z Częstochowy nie życzę ! Myślę że zaczyna być ciepło koło czterech liter i ucieka Pan a raczej zasłania się Pan niby oszczednosciami i szkoleniem juniorów ! Trochę to nie smaczne ! Co do przyszłorocznej składu to ciężko będzie zatrzymac niektorych zawodni",0,1,1
Wolą to od dodatkowej gwiazdy w składzie,Masz na myśli Orlen i Bartka ?,0,1,1
Wolą to od dodatkowej gwiazdy w składzie,"Motor za pieniądze spółek skarbu państwa kupuje juniorów i chyba wcale na tym źle nie wychodzi, prawda?...",0,1,2
Żyto nie przyjmuje wiadomości spadku,"No i wrócić do Ekstra Falubazowi nie byłoby tak łatwo, bo w 1 lidze straszyć będzie Polonia z Sajfudinowem ;)",0,0,0
Żyto nie przyjmuje wiadomości spadku,"Leszno za to chce do PO. Tylko Sparcie wszystko jedno. Jeżeli Darek da wolne chłopakom przed PO już teraz i wystawi jakiś mocnoeksperymentalny skład, to kto wie. Dla kibiców to nawetCzytaj całość
 lepiej, bo coś by się działo, a nie mecz do jednej bramki. Wyobrażacie sytuację kiedy Paniecz jedzie RT za Woffindena?",0,0,0
Żyto nie przyjmuje wiadomości spadku,"Myślę, iż pierwsza liga się ""uśmiecha"" nie tylko do Falubazu, ponieważ Chłopaki z Winnego Grodu już nie z takich opresji wychodzili obronną ręką, no ale nie wyprzedzajmyCzytaj całość
 faktów.
w.",0,1,0
Żyto nie przyjmuje wiadomości spadku,"""Dochodzą mnie słuchy"" że Falubaz dziś w Zielonej żegna się z e-ligą i pomyśleć, że wystarczy jeden meczyk GKM-Włókniarz.",0,0,0
Żyto nie przyjmuje wiadomości spadku,A ja sobie wyobrażam.,0,0,1
Żyto nie przyjmuje wiadomości spadku,Pożyjemy zobaczymy co przyniesie los. Osobiście patrzac na to wszystko raczej stawiam na spadek grudziadza niestety no ale z czym do ludzi.,0,2,1
Żyto nie przyjmuje wiadomości spadku,"Po mimo kontuzji Lidseya,więcej atutów dostrzegam po stronie gości,ale....jak zwykle tor wyjaśni wszystko.",0,3,0
Żyto nie przyjmuje wiadomości spadku,46-44 dla Falubazu. Nie wierzyta -zobaczyta.Wymienimy opinie po meczu. Teraz nie ma co bic piany. Ja stawiam na Falubaz.,0,3,4
Żyto nie przyjmuje wiadomości spadku,"Piotrek,a te słuchy jeszcze do Ciebie docierają,czy odwiedziłeś już laryngologa? ;o)",0,2,1
Żyto nie przyjmuje wiadomości spadku,"Wiadomo, że Unia z Falubazem na ""luz"" sobie pozwolić nie może, bo wówczas na jej drodze do play offów może stanąć Włókniarz Częstochowa. Wg mnie Falubaz może przed Czytaj całość
 spadkiem uchronić zwycięstwo Włókniarza w Grudziądzu. Mecze Falubazu nie mają żadnego znaczenia, są do przegrania.",0,3,3
Żyto nie przyjmuje wiadomości spadku,"Gdyby Leszno dzisiaj wygrało,to obawy Falubazów o utrzymanie są jak najbardziej uzasadnione.Pytanie tylko czy GKM wykorzysta to,że Czewa ostatni mecz odpuści.Patrząc na to jak oniCzytaj całość
 potrafią tracić darmowe punkty w biegach,to jest obawa czy GKM wygrałby nawet wtedy gdyby Czewa przyjechała z pięcioma Pytlewskimi :) Bardziej pechowej drużyny od GKM nie ma w żadnej lidze,chociaz w jednym meczu mieli dużo szczęścia (z WTSem)",0,2,0
Żyto nie przyjmuje wiadomości spadku,Toruń leci jak nic.,0,0,0
Żyto nie przyjmuje wiadomości spadku,Falubaz ma szczęście że jest w E-Lidze taki klub jak GKM Grudziądz który nawet jak ma dar od losu i tak na końcu sam się ZAORZE :),0,4,1
To pomogło wygrać Wilkom w Bydgoszczy,Jako kibic Polonii gratuluje Krosnu zwycięstwa oraz wjechanie do PO. Trening treningiem ale to deszcz i sprzęt zadecydowały o zwycięstwie.,0,1,1
To pomogło wygrać Wilkom w Bydgoszczy,"To chyba ty to ogłaszales nie ja,a po drugie Polonia pojechała najgorszy mecz w sezonie wczoraj i byliście lepsi wczoraj,tyle w temacie.Chłopaki z Bydy spalili sie z nerwów w blokach iCzytaj całość
 tyle.Całkiem niepotrzebnie bo jeszcze jest mecz z Ostrovem gdzie różnica punktów jest niewielka.A jsk będzie zobaczymy.",0,0,5
To pomogło wygrać Wilkom w Bydgoszczy,"Do wszystkich kibiców Bydzi. Najpierw piszecie że macie pecha ( owszem bo kontuzje) później że wszyscy zobaczą jak pojedziecie w pełnym składzie i każy w palnik dostanie. WczorajCzytaj całość
 pojechaliście w najmocniejszym i co????? W pipe!!!! Trochę pokory a nie szczekacie na całą Polskę o pewnym awansie do PO i Elipy.",0,2,1
To pomogło wygrać Wilkom w Bydgoszczy,"Damin: znowu szukasz uj wie czego. Sugerujesz że podłożliśmy się z Gdańskiem. Trzeba było poprostu wygrać z nami wczoraj a nie hucznie ogłaszać przed meczem pewną wygraną i awans doCzytaj całość
 PO. Pycha was zgubiła hahahaha. Jak to ktoś z waszych kibiców napisał,, Już nikt nie zatrzyma Bydgoskiej lokomotywy,, A jednak!!!!! Teraz już chyba wiecie gdzie leży Krosno!!!!!!!!",0,1,1
To pomogło wygrać Wilkom w Bydgoszczy,"@Bartosz1980000:  Bydgoski fachowcu tak się składa, że przed meczem w Ostrowie też trenowaliśmy na obcym torze, ale nie będe pisał jaki to był obiekt żeby wam zadnia nie ułatwiać :)",0,0,0
To pomogło wygrać Wilkom w Bydgoszczy,"Oczywiście ze to nie był przypadek przegrana z Gdańskiem i to 2 razy,ale tersz to bez znaczenia,jedziemy do Ostrowa i tam trzeba po prostu wygrać,oni już nic nie muszą tylko mogą,a toCzytaj całość
 zasadnicza różnica przed ostatnia kolejka,także głowa do góry i Gryfy do Boju!",0,0,5
To pomogło wygrać Wilkom w Bydgoszczy,"Bez sensu tytul. Wilki wygraly bo sa dobrym zespołem, pokazują to od dluzszego czasu odkąd zakontraktowali Musielaka mają mocny skład.  Gdzie trenowali przed meczem w Ostrowie czy Gnieznie?Czytaj całość
 Tam tez wygrali, kto im pomogl? Przegrane wilkow z Gdanskiem to nie przypadek i ja w to na pewno nie uwierzę.",0,2,1
To pomogło wygrać Wilkom w Bydgoszczy,"To sie nazywa profesjonalizm, brawo Wilki, fajna druzyna.",1,3,0
Świetni senior i junior wśród Jaskółek,"Wiaodmo ze to mecz o zadnym znaczeniu ale dla kibiców mysle ze to fajna sprawa ze mimo spadku druzyna nie chce skończyć z 0 stanem konta. Unia miala tyle pecha, jestem pewny ze gdyby nie teCzytaj całość
 kontuzje to byloby zupełnie inaczej.",0,0,0
Musielakowi puściły nerwy. Jest reakcja,"I na szczęście dla Polonii Ostrovia już nic nie musi tylko może...A to zasadnicza różnica w ostatniej kolejce,zobaczymy co jeszcze pokaże dziś wielki sks Gamonia w meczu z Ostrovią.",0,1,6
Musielakowi puściły nerwy. Jest reakcja,"Polonia pojechała wczoraj najgorszy mecz w lidze bo najważniejszy,byli spięci i nerwowi,całkiem niepotrzebnie mając jeszcze jeden mecz więcej.No ale cóż Wilki były wczoraj lepsze iCzytaj całość
 graty dla nich! Jest jeszcze mecz z Ostrovia,także spoko,a jak nie w tym roku to w przyszłym.W mojej opinii jednak Lyager i Zengi do wymiany na przyszły sezon.Zostają Bellego,Taras ,Wiktor i Jeleń.No i drugi młodzieżowiec.Dobrze,że ta przegrana trafiła sie teraz,kubeł zimnej wody,na szczescie jest jeszcze jeden mecz,Polonia do Boju!",0,1,5
Musielakowi puściły nerwy. Jest reakcja,Tobiasz jak masz nerwy daj się leczyć albo nic nie mów i uśmiechaj sie wysyłaj całusy .................,0,2,4
Musielakowi puściły nerwy. Jest reakcja,"napinka bydgowskich kibicow nie jest potrzebna - gdyby bydgoszcz wygrala ale bez bonusa to i tak by nie weszli do PO. chyba ze ktos liczy na wygranie tarnowian w gdansku,przegrana ostrowa uCzytaj całość
 siebie i wygrana rybnika w krosnie, ale rownie dobrze mozna wierzyc w to ze tarnow sie utrzyma w 1 lidze",0,3,1
Musielakowi puściły nerwy. Jest reakcja,To jest chore aby przepraszać za emocje wynikające z cudzego zaniechania - błędu.,0,0,0
Musielakowi puściły nerwy. Jest reakcja,"Szkoda było na to patrzeć, przecież drukarka już od 10 biegu się zaczęła. Wypowiedz Tomka Golloba że na takim torze można jechać tylko troche spokojniej powinna zostać puszczona dlaCzytaj całość
 przykładu "" jak nie masz nic sensownego do powiedzenia to nie mów nic"". Spokojniej to można jechać na treningu, a nie w meczu o taką stawkę.",0,4,2
Musielakowi puściły nerwy. Jest reakcja,"Jestem w stanie usprawiedliwić Musielaka. Chłopak wygląda jak z krzyża zdjęty, widać ile sił kosztowały go przykre wydarzenia rodzinne.
Tor w Bydgoszczy nadawał się do jazdy doCzytaj całość
 13.biegu, potem zrobiła się maź. W obecnych czasach mecze są przekładane lub opóźniane, gdy tor jest w takim stanie. Czy było sens wstrzymać mecz? Oczywiście, że nie było. 
Co do żalu ludzi z Bydgoszczy - wydaje mi się, że na własne życzenie w nominowanych musieli walczyć o pełną stawkę. Gdyby Bydgoszcz prowadziła przed 14.biegiem, to sami chcieliby mecz odwołać. Krosno już miało bonusa w kieszeni, więc osiągnęło cel. Punkt widzenia zależy od punktu siedzenia, a obiektywnie, to gospodarze są winni tego, że przegrali, a nie sędzia czy pogoda.",0,6,0
Musielakowi puściły nerwy. Jest reakcja,@Dami pod relacją meczu Rybnik-Gdańsk dałeś popis jak się nie napinasz ,0,6,1
Musielakowi puściły nerwy. Jest reakcja,"Każdemu moga puścić nerwy, fajnie ze na spokojnie pomyslal ze nie ma co sie dac nerwom i podpuszczać jakims kibicom. To byl wazny mecz, ścisk w tabeli wiec to nie byl mecz o pietruszkę. Czytaj całość
 Trzeba pamięć ze punkt widzenia zależy od punktu siedzenia- Krosno chcialo przerwanja meczu bo im to pasowalo a Bydgoszcz mialo jedynie 4 pkt straty wiec bylo to odrobienia jak najbardziej, nie ma sie co dziwic ze kibice liczyli ze odjada te ostatnie wyścigi",0,3,1
Musielakowi puściły nerwy. Jest reakcja,"widzialem wczorajsze ""spacery"" bandy durniow po torze i oczekiwanie na jezioro labedzie ...narobili stanowisk aby ulatwic podejmownie decyzji ...tylko pogorszyli sprawe bo zaden z tychCzytaj całość
 nowych ""expertow ""nie ma zielonego pojecia za co bierze kase ...chory kraj",0,2,0
Musielakowi puściły nerwy. Jest reakcja,"TOFIK jesteś de beściak, adrenalina chodziła, ale potrafiłeś przyznać się do złej reakcji. SZACUN :)",0,9,1
Musielakowi puściły nerwy. Jest reakcja,"Krosno Wilki na kilka dni przed meczem zostało pogrzebane i postawione w roli przegranego . działacze Polonii zorganizowali imprezy pomeczowe  , mieli świętować wejście do Playoff-ów ,losCzytaj całość
 jednak jest przewrotny PYCHA KROCZY PRZED UPADKIEM , komisarz toru był tak urobiony jak ciasto na pierogi i nie miał własnego zdania ,dopiero arbiter podjął decyzje o przerwaniu meczu",0,10,3
Musielakowi puściły nerwy. Jest reakcja,"Przeciąganie meczu przez sędziego Piotra Stefankiewicza było kompletnie niepotrzebne, przecież każdy widział co się działo na torze. 
Czas na rozliczanie sędziów z ich decyzji.Czytaj całość
 
Może kary pieniężne, albo dyscyplinarne, by ukróciły samowolę sędziów podsycanych przez tzw. ekspertów (w tym przypadku Tomasz Gollob). 
Zapraszanie sympatyka danego klubu na eksperta jest niedopuszczalne!",0,4,3
Paweł Przedpełski odpocznie od ścigania,Czewa to ma jednak szczęście ...,0,0,0
Paweł Przedpełski odpocznie od ścigania,"Szkoda, że Paweł nie przyjedzie do Częstochowy, bo godne przywitanie jego i Adika, to był mój nadrzędny cel niedzielnej wizyty przy Olsztyńskiej :).",0,0,1
Paweł Przedpełski odpocznie od ścigania,"Oglądałem ten mecz,Paweł wystartował równo z Ludvig'em Lindgrenem,a ten przycisnął go do krawężnika.Hak Pawła wylądował w kole Szweda i Przedpełski z impetem uderzył o tor.SędziaCzytaj całość
 nikogo z tego biegu nie wykluczył,choć w/g mnie Paweł nie miał gdzie jechać.",0,0,0
Paweł Przedpełski odpocznie od ścigania,Mało prawdopodobne. Pewnie za Pawła będzie ZZtka.,0,0,0
