article,comment,is_positive,thumbs_up,thumbs_down
Podwójna wygrana Sparty w Gorzowie,"Żeby był hit to muszą być dwie topowe drużyny,a nie jedna.Druga to statyści.",0,1,1
Podwójna wygrana Sparty w Gorzowie,"Redaktorze Juraszek, o jakim ""hicie"" ty piszesz. Gorzowska Stal wystąpiła bez trzech podstawowych zawodników ze składu i wiadomo, że startowała by ten mecz objechać. Wynik zCzytaj całość
 twego spotkania dla miejscowych nie miał żadnego znaczenia.",0,2,2
Zmarzlik dawał się zaskoczyć Spartanom,"Panie redaktorze Janiszewski, takie same noty dla Bartka i Maćka w tym meczu? Maciek był tego dnia ewidentnie lepszy, pod każdym względem, nawet jak miał defekt. Chyba oglądaliśmy jednakCzytaj całość
 różne mecze. 
Potem się Pan dziwi, że Bartka nikt, poza Gorzowem, nie lubi.",0,0,2
Zmarzlik dawał się zaskoczyć Spartanom,"Przereklamowany złośnik tak samo jak janoś.
Obije w końcu sobie zrobią krzywdę.
Nauczka z Protasa&Gollob poszła w las ?",0,0,0
Zmarzlik dawał się zaskoczyć Spartanom,Ten plus przy Bartku za wzorową i przemyślaną akcję na koledze z drużyny po starcie trzeciego biegu,0,2,2
Leon Madsen w końcu się doczekał,"Leon Madsen pokazał jak się zachować na dekoracji pomimo, że nie jest się zwycięzcą. Potrafił pogratulować Łagucie i Zmarzlikowi i cieszyć się z osiągniętego wyniku. Od niegoCzytaj całość
 winien się zachowania uczyć Janowski, bo wielkość zawodnika to nie tylko wyniki, ale i zachowanie.",0,0,0
Niedoświadczeni juniorzy problemem ligi?,"@ Jarass. Tak, można było nie wypożyczyć Bartkowiaka do GKM. Tylko w pierwszej części sezonu Bartkowiak po kontuzji był słabszy od Jasińskiego i Nowackiego i w gorzowskim klubieCzytaj całość
 ""grzał by ławę"". To słusznie, że patrzono nie tylko na dobro gorzowskiego Klubu. ale i dobro zawodnika. Nikt nie przewidywał kontuzji w tym samym czasie dwóch podstawowych juniorów. Bartkowiak po sezonie wróci i nie będzie miał żalu do gorzowskiego Klubu, że nie pozwolili mu się rozwijać w tym sporcie.",0,0,0
Niedoświadczeni juniorzy problemem ligi?,"@erik stelmacher: Skoro regulamin na to pozwalał to nie rozumiem dlaczego masz ciągłe pretensje o tego gościa.Prawie wszystkie kluby z niego korzystaly,ale najbardziej boli cie to,żeCzytaj całość
 robiła to Stal.Cały czas to wypominasz.Tak samo jak to wypożyczenie.Równie dobrze można by mieć pretensje o Z/Z.Co to za idiota co to wymyslił?Przecież stosowanie z/z jest niezgodne z duchem sportu.Co to kogo obchodzi,że ktoś tam złapał kontuzje?Nie prawdaż? A wy jednak mieliście to w doopie i za zdrowego Jonssona korzystaliście z tego przywileju prawie cały sezon.To oczywiście wg Ciebie było zgodne z duchem sportu,bo to robił Motor,ale już jak Stal coś robi to zaraz nazywana jest przez Ciebie kombinatorem",0,1,0
Niedoświadczeni juniorzy problemem ligi?,"w 2020 oczywiście,w 2021 może być srebro,ale raczej 3-4miejsce się szykuje,chyba że znów goście dopomogą...a kibole będą puchnąć z dumy jakie te bermudy są wspaniałe...nieCzytaj całość
 piszą,że bez gości w 2020 i 2021 gorzów niczego by nie osiągnął i nie osiągnie...dla nich to tylko zasługa samego gorzowa....",0,0,1
Niedoświadczeni juniorzy problemem ligi?,"@Całkiem obiektywny: to właśnie chce zrobić gorzów- marzy im się kowalski do pomocy w walce o medale...jak w 2021 srebro zrobili m.in.jackiem holderem,....to rozwiązanie wchodzi wCzytaj całość
 krew...jak raz się uda z kombinowaniem,to potem nie można bez tego żyć...",0,0,0
Niedoświadczeni juniorzy problemem ligi?,Tak wogóle szacun dla tych chlopakow ze wsiedli na ten motocykl z czasem bedzie jeszcze lepiej,0,0,0
Niedoświadczeni juniorzy problemem ligi?,"No super!!! To stworzy sytuację, gdzie każdy klub Ekstraligowy przedstawiając L4 juniora, znajdzie sobie takiego co wymiata.
To nie tak ma działać, ruszamy ze składem i takim kończymy.Czytaj całość
 Kontuzje juniorów? Przecież każdy klub ma obowiązek mieć swoich wychowanków, ewentualnie zakontraktowanych. 
OK, wypożyczenie do niższych lig, ale w górę? To może jeszcze zakontraktujmy juniorów z drużyn 5-8? 
Zmiana zasad w trakcie gry?",0,1,0
Niedoświadczeni juniorzy problemem ligi?,"Klub ma młodzieżowców wypożyczonych do innych klubów. Pozostaje zapisać klauzulę w umowie wypożyczenia (i to powinno być regulaminowe), że w przypadku kontuzji w podstawowymCzytaj całość
 składzie macierzystego klubu, junior wraca z wypożyczenia w trybie natychmiastowym. To w końcu premiuje kluby, które kształcą młodzież, a nie teraz cieszą się Ci którzy, nie kształcą lub mają dziurę w wychowaniu, pożyczyli i dziś cieszą się, że nie muszą oddawać. Wypożyczenie to powinno być ryzyko po stronie biorcy, a nie tego kto faktycznie szkoli i faktycznie znalazł się w potrzebie przez kontuzje.",0,3,1
Niedoświadczeni juniorzy problemem ligi?,"Nauczka na przyszłość dla Gorzowa jest taka,że warto by było przytrzymać tego Bartkowiaka,by konkurował z pozostałymi,a w razie ich kontuzji z powodzeniem ich zastąpił.
(jak terazCzytaj całość
 Kowalskiego ma Czewa)
Inna sprawa że kontuzji dwóch podstawowych juniorów,trudno jest przewidzieć.",0,2,0
Niedoświadczeni juniorzy problemem ligi?,"ciężko jak z powodu kontuzji nie można wystawić optymalnego składu...,nie życzę tego nikomu-np w lublinie jakby jeden z juniorów wypadł,szczególnie lampart to koniec marzeń...,Czytaj całość
 dotyczy to większości klubów...,ale tutaj jednak demski ma rację....sezon 2021 pokazał,że polak potrafi...słynni goście pomogli....bermudy i wrocław nawet z tego zrobili medale",0,1,0
Niedoświadczeni juniorzy problemem ligi?,"Demski ma absolutną rację z kombinowanie. Przykład pierwszy z brzegu to Motor Lublin. Nawet w DMPJ wystawili L4 dwójce swoich wychowanków i rajcują się, że wygrali jedną z rund dziękiCzytaj całość
 armii zaciężnej.",0,1,0
Niedoświadczeni juniorzy problemem ligi?,"@ ""Przecież to ja"" Gorzowska Stal obecnie ma siedmiu juniorów, o trzech więcej jak Ostrowia. Tylko Klub gorzowski nie chciał ""kisić"" swych zawodników i wypożyczył doCzytaj całość
 innych klubów by się rozwijali. Pech, że kontuzjowanych zostało w tym samym czasie dwóch czołowych juniorów Klubu. Nikt nie planował wypożyczenia juniora z Ostrowa, to wymysł dziennikarski prawnie niemożliwy.",0,3,0
Niedoświadczeni juniorzy problemem ligi?,"Jak takie tradycyjnie żużlowe miasta jak Gorzów, Grudziądz, Gniezno, Toruń nie potrafią wychować, ukształtować chociażby dwóch, trzech juniorów na odpowiednim poziomie. WSTYD!.Czytaj całość
 Kupowanie, wypożyczanie juniorów powinno być ZABRONIONE. Pomijam tu PSŻ Poznań bo to jest nowa jednostka, ale już powinni mieć jakieś rezultaty w tej dziedzinie.",0,0,2
Niedoświadczeni juniorzy problemem ligi?,"@Przecież to ja: Pokaż mi w Ostrowie choć jednego wychowanka na pozycji seniorskiej, a waszych juniorów objeżdża nasz 15-latek Paluch. Bartkowiak też sobie da z nimi radę",0,1,0
Chomski zaprasza Jabłońskiego na trening,"W temacie ciężkiego toru... Byłem kiedyś w Rybniku na lidze, gdzie przez cały mecz nikt nie pojechał ślizgiem, skończyło się bodajże 74:16. Ale pojechali... Innym razem wCzytaj całość
 Świętochłowicach siedziałem w miejscu w którym wieżyczka zasłaniała część drugiego łuku. Na czwartym okrążeniu weszli w ten wiraż wszyscy, nie wyjechał nikt, próbowali jeszcze pchać do mety ale nie dało się... Nie twierdzę że te przypadki były OK, ale dzisiaj płacz zaczyna się przy pierwszej kropli wody, taka prawda.",0,0,0
Chomski zaprasza Jabłońskiego na trening,"Jak najbardziej, Jabłoński zasłużył sobie na darmowe jazdy w GW. Ciężki tor, to był kiedyć w Czewie w czasie zawodów juniorskich zaraz po ulewie. W drugim łuku, kto tylko minimalnieCzytaj całość
 zwolnił zagrzebywał siępo osie bez możliwości jazdy. A jeżeli zapuścił się za połow, to połowa drużyny musiała wyciągać motor z błota. Ale zawody zostały odjechane do końca. To był chyba 2009 lub 2010 rok.",0,0,0
Chomski zaprasza Jabłońskiego na trening,Brawo Stasiu Chomski.,1,0,0
Chomski zaprasza Jabłońskiego na trening,"Wszystkich ""stękaczy"" na komentowanie Mirka J. wysłał bym na terapie. ""Wszystkie mecze kolejki komentuje Pan Ol.....z i do tego z niedoświadczony młodym redaktorkiem.  PoCzytaj całość
 takiej terapii jak by usłyszeli Jabola to by chórem śpiewali ""Jak anioła głos..."" HA HA HA ;)",0,2,0
Chomski zaprasza Jabłońskiego na trening,"Jak z Jabola taki as żużla (w/g jego komentarza), to niech podejmie rękawice i pojeździ z Gorzowskimi juniorami. Zobaczymy jaki z niego as.",0,2,1
Chomski zaprasza Jabłońskiego na trening,"Tak odnośnie czepiania się komentatorstwa w żużlu, to też stoję murem za Tomkiem Dryłą przede wszystkim i Mirkiem. Koleś cały czas jeździ, jego wiedza jest duzą wartością wCzytaj całość
 komentowaniu meczu, choć nie zawsze trafne uwagi to jednak lepiej to, niż.....   o musiałach czy innych z ilewen nie wspominając....",0,7,0
Chomski zaprasza Jabłońskiego na trening,"Tor nie był ciężki, po prostu obniżamy umiejętności zawodników robiąc wszędzie beton. 20 lat temu tak wyglądał tor twardy. Pewnie gdyby Stal wygrała nie byłoby tematu. Na marginesieCzytaj całość
 pozdrowienia dla Mirka, lubię te jego ""głupoty"" pośród reszty smutnych panów.",0,3,0
Chomski zaprasza Jabłońskiego na trening,Panie Chomski pana juniorzy w trakcie meczu też mówili że tor jest ciężki. Niech pan obejrzy transmisję i posłucha jak zawodnicy się wypowiadali o torze.,0,2,0
Chomski zaprasza Jabłońskiego na trening,A jednak Chomski ma rację. Przecież nie powiedział niczego złośliwego. Trochę żartobliwie zaprosił Mirka na trening. Ogólnie to by się popularnemu Jabolowi ... przydało ;),0,1,2
Chomski zaprasza Jabłońskiego na trening,"przecież Jabol to najlepszy komentator, co z tego, że nie jest najlepszym żużlowcem (zwłaszcza, że kiedyś był bardzo dobry), jak mamy bardzo dobry przykład Mistrz świata Tomasz GollobCzytaj całość
 - beznadziejny komentator. 
I skoro waszym zdaniem Jabol jest stronniczy to niewiem co można o Gollobie powiedzieć,
a Chomski próbuje sie ratować, bo w szkółce pewno wszyscy sie na Paluchu skupili, a reszta chłopaków została zostawiona sama sobie",0,0,0
Chomski zaprasza Jabłońskiego na trening,Krytykują Jabłońskiego uzerzy na SF :)))) Pewnie czyta i się przejmuje opinią tak zacnego grona laików  co z żużlem mają tyle wspólnego co szlaka z elektrociepłowni :)))),,6,4
Chomski zaprasza Jabłońskiego na trening,"I co się tak czepiacie tego Jabłońskiego? Jako człowiek, który kawał życia poświęcił na uprawianie sportu, to on radzi sobie w TV bardzo dobrze. Miał słabszy moment, gdy za bardzoCzytaj całość
 sobie z Dryłą wprowadzili luźny klimat, poszła reprymenda i od tego czasu powiedział już naprawdę wiele ciekawych rzeczy z punktu widzenia żużlowca. Kiedyś komentarze zawodników brzmiały tak: ""wyszedł ładnie ze startu, zamknął ich i wygrał"". Nic z tego nie wynikało. Teraz jest mnóstwo ciekawostek, różne techniczne niuanse itp. Językowo też radzi sobie całkiem dobrze, normalnie, używa w mowie polskich znaków. I jeszcze jedno: on tam nie robi za komentatora (tym jest Dryła), Jabol ma być ekspertem i nim jest, wie o żużlu rzeczy, których kibic i komentator wiedzieć nie mogą z racji braku praktyki. Czasami wrzuca kontrowersje i sprzeczne teorie żeby było ciekawiej, bo tak powinno być w telewizji. Gość jest (był) żużlowcem, jeździł w ekstralidze, pracuje w telewizji, o ile dobrze kojarzę skończył studia, założył rodzinę, ma syna ze smykałką do jazdy. Osiągnęliście więcej? Może zazdrość tyłek ściska? Jak się tutaj wejdzie w komentarze to poza kilkoma osobami cała reszta to są chyba jacyś życiowi frustraci i nieudacznicy, byle komuś dokopać. Ech...",0,8,4
Chomski zaprasza Jabłońskiego na trening,"- Słaby zawodnik , jeszcze gorszy z niego komentator z wkurzającym rżącym śmiechem... Przyczepił się do Tomka Dryły i gwiazdorzy na całego! - Tyle w temacie...",0,3,10
Osłabiona Stal przegrała ze Spartą,"Finał Sparta - Motor jest najbardziej prawdopodobny.  Kto wygra? Nie wiadomo, to tylko sport. Trzymam kciuki za Spartę! Za Maćka w szczególności (nawet jak jeździł w Tarnowie).",0,2,0
Osłabiona Stal przegrała ze Spartą,"Ale mieliśmy szczęście! Jakby był Nowacki i Woźniak, to dopiero by Sparcie dowalili! Ehhh... czytać mi się tego nie chce. Na początku sezonu Sparta jechała bez Taia i nie przypominamCzytaj całość
 sobie aby ktoś jojczył jak Gorzowiaki.",0,2,0
Osłabiona Stal przegrała ze Spartą,"W tym sezonie tylko Falubaz może wygrać ze Spartą. Chociaż bonus raczej pozostanie we Wrocławiu. W PO nie ma drużyny, którą na to stać.",0,1,2
Osłabiona Stal przegrała ze Spartą,"Stał przegrała, bo sportowo była słabsza. Tyle.",0,3,0
Silniki Ryszard Kowalskiego pod lupą!,a Janowskiego nie sprawdzili przecież on jest wyjątkowo szybki w tym roku,0,0,0
Silniki Ryszard Kowalskiego pod lupą!,"Ciekawe ktory zuzlowiec z GP jezdzi na silnikach spod dloni najlepszego mechanika w Polsce wedlug Czekanskiego-Kazia Juskowiaka? DJ 507 aka KK 187? Berntzon? Niedlugo w TZ bedzie wywiad z w/wCzytaj całość
 Panem Kaziem,to zapewne sie dowiemy:)",0,0,0
Silniki Ryszard Kowalskiego pod lupą!,"Oj boli polski tuner, boli że od kilku lat jest na szczycie, nie trudno się domyślić komu najbardziej żal dupę ściska i do tego wie że ma dożywotniego bana w RK Racing.",0,1,0
Silniki Ryszard Kowalskiego pod lupą!,"Pewnie Janowska złożyła doniesienie na zasadzie łapać oszusta, żeby od swoich machlojek odsunąć podejrzenia.",0,4,0
Silniki Ryszard Kowalskiego pod lupą!,Robi coś dobrze źle robi masowo źle to jak niby ma być ?,0,0,0
Silniki Ryszard Kowalskiego pod lupą!,"Pan Ryszard Kowalski robi nie tylko świetne silniki, ale ma też fajny skrót swojej firmy- team RK .
RK , to oznaczenie tablic rejestracyjnych Krosna , czyli miasta , gdzie jest klubCzytaj całość
 żużlowy obecnie w eWinner 1 Lidze  Cellfast Wilki Krosno . :-)",0,2,1
Silniki Ryszard Kowalskiego pod lupą!,A dlaczego nie wzięto do kontroli silników tlenionego blondyna co nie umie przegrywać? On jest pod specjalną ochroną?,0,5,3
"Wie, kto wywalczy mistrzostwo w 2021","Pamiętam J. O. Pedersena i gościnny występ w 91r w Zg przeciwko mistrzom Anglii drużynie Wolverhampton. Były w Grodzie Bachusa nawet zakusy o zawodnika dun wybrał jednak ofertę z Rybnika.Czytaj całość
 Kontuzja kręgosłupa zakończyła jednak karierę sympatycznego zawodnika.",0,0,0
Tabela i statystyki PGE Ekstraligi,"To SG będzie miała złoto w tym roku, czy nie - to temat ważny, ale nie będę płakał, jeśli Stal nie wygra PO. Młodzież to u nas nędza. Dużo ważniejsze jest dla mnie pozbycie sięCzytaj całość
 Falubazu z Ekstraligi. I za to będę trzymał kciuki.",0,0,1
Tabela i statystyki PGE Ekstraligi,"@ckm cov zapewne i dlatego skasowali sobie juniorów i Woźniaka ,żeby tylko ligi nie wygrać jeszcze utłukli rękę Thomsenowi ha ha",0,0,0
Tabela i statystyki PGE Ekstraligi,"Wygrana Falubazu z Unią Leszno wiele spraw z układem tabeli wyjaśni, liczę ,że Chłopaki z Winnego Grodu wreszcie się na W69 postawią a fart Ich nie opuści.",0,0,0
Tabela i statystyki PGE Ekstraligi,"Ja mysle ze Gorzow nie chcial wygrac ligi, z jakiegos powodu nie chce jechac z UL. PO za miesiac... wszystko jest mozliwe w tym sporcie",0,1,2
Tabela i statystyki PGE Ekstraligi,"Gratulacje chłopaki, dobra robota!",1,2,1
Tabela i statystyki PGE Ekstraligi,"Poza 1 pozycją dla Sparty jeszcze sporo może się pomieszać. Leszno powinno ale nie musi wygrać w ZG. Stal bez Woźniaka i bez ZZtki za niego oraz przetrzebioną juniorką może przegrać wCzytaj całość
 Toruniu, bo Toruń pewnie pojedzie bez Przedpełskiego, ale ma za niego ZZtkę. Częstochowa jeśli straci szansę na PO, może odpuścić mecz w Grudziądzu. Sporo znaków zapytania.",0,2,0
Sparta nie dała szans Stali na jej torze,Zmarzlik w żużlu jak Legia w piłce Sędziowie zawsze pomogą!,0,0,0
Sparta nie dała szans Stali na jej torze,"Oba zespoły to przemyślane strategie od wielu już lat.
Tylko że na szczęście kasa sama nie jest wstanie wygrać te rozgrywki.
Leszno pogodzi oba te podmioty.",0,0,0
Sparta nie dała szans Stali na jej torze,"@leonidaswro: Średnia meczowa Curzytka: 2,23, Liszka: 3,08, a Jasiński: 3,58. Jest to średnia z wszystkich meczów, a wiadomo jest, że Jasiński większość punktów zdobywa na własnymCzytaj całość
 torze. Także istniało duże prawdopodobieństwo, że w drugim wyścigu zdobędzie 3 pkt, a w 13 jeden. Jasiński to obecnie 6 junior Ekstraligi-popatrz, co robił z Liszką i Curzytkiem w lidze juniorów",0,1,0
Sparta nie dała szans Stali na jej torze,"@leonidaswro: Nie no nie powiesz mi,że gdyby był Jasiński i Nowacki to byście pewnie wygrali 5-1 w biegu juniorskim:) Przy pełnym składzie Stali Curzytek z Liszką nie zrobiliby aż 11Czytaj całość
 pkt.Stal co drugi bieg miała dziure w składzie,bo jechał albo Pytlewski,albo Ralcewicz,albo Markus.Ci zawodnicy się męcza jadąc w elidze i mówienie,że oni zastępowali Szymka,Wiktora,czy Kamila jest nadużyciem.Oni ich nie zastępowali.Oni tylko uzupełnili skład.Powtarzam macie silny skład i my nawet w komplecie mielibyśmy z wami problem wygrać.Nie piszcie tylko tych bzdur,że brak Woźniaka,Jasińskiego i Nowackiego to żadne osłabienie",0,8,1
Sparta nie dała szans Stali na jej torze,"@Andy Stal: Jeśli spojrzysz obiektywnie na rzeczywistość, to samo można napisać o kibicach z Gorzowa na stadionie we Wrocławiu. Niestety, sport często wyzwala negatywne emocje zCzytaj całość
 różnych powodów - u jednych z radości u drugich z żalu i rozczarowania. Poza tym jak zapewne wiesz, organizatorzy wyjazdów na mecze wyjazdowe nie wymagają od uczestników świadectwa ukończeni kursu savoir- vivre. Myślę także, że jako długoletni forumowicz nie będziesz usiłował mi wmawiać, że wszyscy gorzowscy kibice mieli we krwi 0,00 prom. i wyłącznie kulturalnie dopingowali swoich zawodników, nie obrażając wrocławskich liderów, czego domagają się dla swoich na wyjazdach.
 Kiedyś będąc na meczu w znienawidzonym przez Gorzowiaków Wrocławiu, byłem świadkiem takiej scenki: pewna pani w dojrzałym wieku strofowała trzydziestoletniego kibica za to, że siedząc przed nią co chwila wstawał i używał niecenzuralnych słów. Odpowiedź kibica brzmiała: ""jak chce pani kultury, to niech idzie do opery!"". Wiem, że w Gorzowie opery nie ma, ale na pewno coś znajdziesz. Pozdrawiam!",0,1,2
Sparta nie dała szans Stali na jej torze,"Tor był przygotowany dobrze, natomiast ulewa, jaka przeszła przez Gorzów przed meczem spowodowała, że zaczął się on odkształcać i w pewnym sensie zaskoczył naszych zawodników. WCzytaj całość
 pełnym składzie prawdopodobnie byśmy wymęczyli wygraną, ale postawienie się tak silnej Sparcie w dwumeczu jest raczej nierealne. Karczmarz-out, Birkemose- ???, Pytlewski, mimo, że znalazł wreszcie kogoś, kogo może objeżdżać (szkoda tylko, że to nasz wychowanek)-out. Źle zbudowana drużyna na ten rok. Za bardzo zaufali Karczmarzowi",0,0,0
Sparta nie dała szans Stali na jej torze,"Witam. Bylem na meczu osobiscie, mecz ....lipa :( . tor beznadziejny , nie wiem czy przez opady deszczu to byl tak przygotowany juz wczesniej. Co do wyniku, mysle ,ze nawet z Szymonem &Czytaj całość
 Wiktorem Stal by nie wygrala , Kamil Nowacki, sorry , ale nigdy nie uwazalem go za ""nawet dobrego"" juniora. Co do emocji....to ich nie bylo, nawet nie dostrzeglem jakies ""mega zaangazowania"" w Stali, w Sparcie tez w sumie nie. Dziwny mecz , naprawde.Pozdrawiam wszystkich kibicow",0,2,0
Sparta nie dała szans Stali na jej torze,"@gorzowianin z Mazowsza: Szanuję Cię za trzeźwy umysł i wyważone wpisy na forum. Proszę nie psuj swego wizerunku! To nie Woźniak ani Nowicki (Nowacki?) stanowią o sile Stali. LubięCzytaj całość
 Szymka, ale nawet jeśli dodamy komplet punktów jakie mógłby zdobyć to i tak Sparta wygrywa! Podstawowi juniorzy Stali także nie są zaliczani do potentatów ligi.  Czy w pierwszej fazie meczu Vaculik i Zmarzlik jeździli słabo dlatego, że w składzie nie było Szymka i Nowackiego? Poza tym skandaliczne sędziowanie. Sędzia w trzecim wyścigu zauważył ruchy na starcie u Maćka, ale faulu Zmarzlika na Karczmarzu już nie! Może i słusznie, powtórzył bieg we czterech, jednak rodzi się pytanie dlaczego nie dopuścił Taia do powtórki w pierwszym biegu - kraksa także w pierwszym łuku?
Miarą wielkości kibica jest wierność drużynie i umiejętność przyjmowania porażki z godnością. Pozdrawiam!",0,1,4
Sparta nie dała szans Stali na jej torze,"Mecz odjechany bez większych emocji. Osłabiona Stal pojechała bezjajecznie, ale w pełnym składzie by tak nie było, co nie zmienia faktu, że Sparta jest bardzo mocna.",0,3,1
Sparta nie dała szans Stali na jej torze,"Na beznadziejny film mówimy kicz, na kiepską kawę powiemy lura, na książkę knot, a co możemy powiedzieć na gorzowski tor żużlowy? Stadion, infrastruktura ok. ale tor BEZNADZIEJNY. IleCzytaj całość
 było wczoraj wyprzedzeń? 1,2. W Gorzowie na zawody powinni wpuszczać darmo albo dopłacać za stracony czas. Nie daj Boże zrobić tam GP.",0,1,1
Sparta nie dała szans Stali na jej torze,"@spartunia: Bez Szymona i bez podstawowych juniorów.Tego nie dodałeś.Wybacz,ale to już jest za duże osłabienie na tak silną Spartę,która jechała pełnym składemJa nie twierdzę,że zCzytaj całość
 nimi w składzie byśmy wygrali,bo w tym roku jesteście bardzo silni,ale na pewno mecz wyglądałby inaczej.Byłby bardziej interesujący i być może wynik byłby na styku.Nie mów,że nie.Tak z innej beczki to mimo tego hejtu co wczoraj wywalaliście na forum w czasie meczu to i tak wam gratuluje zwycięstwa.Pozdro z Gorzowa",0,4,0
